offense_id,incident_id,crime_head,mo_text,mo_signature,severity_weight
OFF000035,INC000034,Theft,Accused was seen loitering near a parking lot before removing two mobile phones and fleeing on a on foot.,vehicle:on foot,8
OFF000036,INC000035,Burglary,Accused gained entry through the compound wall and removed a laptop from the premises while occupants were asleep.,entry:compound wall,15
OFF000037,INC000036,Burglary,Accused gained entry through the compound wall and removed a bag of valuables from the premises while occupants were at work.,entry:compound wall,15
OFF000038,INC000037,Burglary,Accused gained entry through the compound wall and removed two mobile phones from the premises while occupants were asleep.,entry:compound wall,15
OFF000039,INC000038,Burglary,Accused gained entry through the compound wall and removed jewellery from the premises while occupants were away.,entry:compound wall,15
OFF000040,INC000039,Burglary,Accused gained entry through the compound wall and removed jewellery from the premises while occupants were away.,entry:compound wall,15
OFF000041,INC000040,Burglary,Accused gained entry through the rear window and removed cash and electronics from the premises while occupants were away.,entry:rear window,15
OFF000042,INC000041,Burglary,Accused gained entry through the rear window and removed cash and electronics from the premises while occupants were asleep.,entry:rear window,15
OFF000043,INC000042,Theft,Accused was seen loitering near a residential lane before removing a laptop and fleeing on a on foot.,vehicle:on foot,8
OFF000044,INC000043,Theft,Accused was seen loitering near a market area before removing a bag of valuables and fleeing on a on foot.,vehicle:on foot,8
OFF000045,INC000044,Theft,Accused was seen loitering near a market area before removing jewellery and fleeing on a on foot.,vehicle:on foot,8
OFF000046,INC000045,Theft,Accused was seen loitering near a residential lane before removing a laptop and fleeing on a on foot.,vehicle:on foot,8
OFF000047,INC000046,Robbery,"Accused approached the victim near a bus stop, threatened them with a knife, and fled with a laptop on a two-wheeler.",weapon:knife,45
OFF000048,INC000047,Robbery,"Accused approached the victim near a residential lane, threatened them with a knife, and fled with a laptop on a two-wheeler.",weapon:knife,45
OFF000049,INC000048,Robbery,"Accused approached the victim near a residential lane, threatened them with a knife, and fled with a bag of valuables on a two-wheeler.",weapon:knife,45
OFF000050,INC000049,Robbery,"Accused approached the victim near a parking lot, threatened them with a knife, and fled with two mobile phones on a two-wheeler.",weapon:knife,45
OFF000051,INC000050,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a market area over an old debt, causing injury with a iron rod.",weapon:iron rod,35
OFF000052,INC000051,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a market area over a road-rage incident, causing injury with a iron rod.",weapon:iron rod,35
OFF000053,INC000052,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a parking lot over a property boundary, causing injury with a iron rod.",weapon:iron rod,35
OFF000054,INC000053,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a residential lane over a property boundary, causing injury with a iron rod.",weapon:iron rod,35
OFF000055,INC000054,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a market area over a property boundary, causing injury with a iron rod.",weapon:iron rod,35
OFF000056,INC000055,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a market area over a property boundary, causing injury with a iron rod.",weapon:iron rod,35
OFF000057,INC000056,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a parking lot over a property boundary, causing injury with a iron rod.",weapon:iron rod,35
OFF000058,INC000057,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a railway station over a property boundary, causing injury with a iron rod.",weapon:iron rod,35
OFF000059,INC000058,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a residential lane over an old debt, causing injury with a iron rod.",weapon:iron rod,35
OFF000060,INC000059,Theft,Accused was seen loitering near a market area before removing two mobile phones and fleeing on a bicycle.,vehicle:bicycle,8
OFF000061,INC000060,Theft,Accused was seen loitering near a market area before removing two mobile phones and fleeing on a bicycle.,vehicle:bicycle,8
OFF000062,INC000061,Theft,Accused was seen loitering near a residential lane before removing cash and electronics and fleeing on a bicycle.,vehicle:bicycle,8
OFF000063,INC000062,Theft,Accused was seen loitering near a bus stop before removing a bag of valuables and fleeing on a bicycle.,vehicle:bicycle,8
OFF000064,INC000063,Burglary,Accused gained entry through the terrace access and removed two mobile phones from the premises while occupants were at work.,entry:terrace access,15
OFF000065,INC000064,Burglary,Accused gained entry through the terrace access and removed a bag of valuables from the premises while occupants were away.,entry:terrace access,15
OFF000066,INC000065,Burglary,Accused gained entry through the terrace access and removed a laptop from the premises while occupants were at work.,entry:terrace access,15
OFF000067,INC000066,Burglary,Accused gained entry through the terrace access and removed cash and electronics from the premises while occupants were at work.,entry:terrace access,15
OFF000068,INC000067,Burglary,Accused gained entry through the kitchen ventilator and removed cash and electronics from the premises while occupants were asleep.,entry:kitchen ventilator,15
OFF000069,INC000068,Burglary,Accused gained entry through the kitchen ventilator and removed a laptop from the premises while occupants were asleep.,entry:kitchen ventilator,15
OFF000070,INC000069,Burglary,Accused gained entry through the kitchen ventilator and removed cash and electronics from the premises while occupants were at work.,entry:kitchen ventilator,15
OFF000071,INC000070,Burglary,Accused gained entry through the kitchen ventilator and removed jewellery from the premises while occupants were asleep.,entry:kitchen ventilator,15
OFF000072,INC000071,Cheating,"Accused posed as a delivery agent and convinced the victim to transfer funds via a fraudulent link, then became unreachable.",channel:a fraudulent link,20
OFF000073,INC000072,Cheating,"Accused posed as a delivery agent and convinced the victim to transfer funds via a fraudulent link, then became unreachable.",channel:a fraudulent link,20
OFF000074,INC000073,Burglary,Accused gained entry through the unlocked back door and removed two mobile phones from the premises while occupants were at work.,entry:unlocked back door,15
OFF000075,INC000074,Burglary,Accused gained entry through the unlocked back door and removed a bag of valuables from the premises while occupants were at work.,entry:unlocked back door,15
OFF000076,INC000075,Theft,Accused was seen loitering near a market area before removing jewellery and fleeing on a bicycle.,vehicle:bicycle,8
OFF000077,INC000076,Theft,Accused was seen loitering near a bus stop before removing a bag of valuables and fleeing on a bicycle.,vehicle:bicycle,8
OFF000078,INC000077,Theft,Accused was seen loitering near a parking lot before removing jewellery and fleeing on a bicycle.,vehicle:bicycle,8
OFF000079,INC000078,Theft,Accused was seen loitering near a residential lane before removing a bag of valuables and fleeing on a bicycle.,vehicle:bicycle,8
OFF000080,INC000079,Cheating,"Accused posed as a bank official and convinced the victim to transfer funds via phone banking, then became unreachable.",channel:phone banking,20
OFF000081,INC000080,Cheating,"Accused posed as a government officer and convinced the victim to transfer funds via phone banking, then became unreachable.",channel:phone banking,20
OFF000082,INC000081,Cheating,"Accused posed as a government officer and convinced the victim to transfer funds via UPI, then became unreachable.",channel:UPI,20
OFF000083,INC000082,Cheating,"Accused posed as a delivery agent and convinced the victim to transfer funds via UPI, then became unreachable.",channel:UPI,20
OFF000084,INC000083,Cheating,"Accused posed as a delivery agent and convinced the victim to transfer funds via UPI, then became unreachable.",channel:UPI,20
OFF000085,INC000084,Cheating,"Accused posed as a government officer and convinced the victim to transfer funds via UPI, then became unreachable.",channel:UPI,20
OFF000086,INC000085,Cheating,"Accused posed as a government officer and convinced the victim to transfer funds via UPI, then became unreachable.",channel:UPI,20
OFF000087,INC000086,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a residential lane over an old debt, causing injury with a iron rod.",weapon:iron rod,35
OFF000088,INC000087,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a bus stop over a road-rage incident, causing injury with a iron rod.",weapon:iron rod,35
OFF000089,INC000088,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a parking lot over a property boundary, causing injury with a iron rod.",weapon:iron rod,35
OFF000090,INC000089,Burglary,Accused gained entry through the unlocked back door and removed jewellery from the premises while occupants were at work.,entry:unlocked back door,15
OFF000091,INC000090,Burglary,Accused gained entry through the unlocked back door and removed a bag of valuables from the premises while occupants were away.,entry:unlocked back door,15
OFF000092,INC000091,Burglary,Accused gained entry through the unlocked back door and removed jewellery from the premises while occupants were asleep.,entry:unlocked back door,15
OFF000093,INC000092,Theft,Accused was seen loitering near a bus stop before removing two mobile phones and fleeing on a bicycle.,vehicle:bicycle,8
OFF000094,INC000093,Theft,Accused was seen loitering near a residential lane before removing a laptop and fleeing on a bicycle.,vehicle:bicycle,8
OFF000095,INC000094,Theft,Accused was seen loitering near a market area before removing two mobile phones and fleeing on a bicycle.,vehicle:bicycle,8
OFF000096,INC000095,Theft,Accused was seen loitering near a residential lane before removing a bag of valuables and fleeing on a bicycle.,vehicle:bicycle,8
OFF000097,INC000096,Theft,Accused was seen loitering near a market area before removing jewellery and fleeing on a two-wheeler.,vehicle:two-wheeler,8
OFF000098,INC000097,Theft,Accused was seen loitering near a parking lot before removing a bag of valuables and fleeing on a two-wheeler.,vehicle:two-wheeler,8
OFF000099,INC000098,Theft,Accused was seen loitering near a market area before removing a bag of valuables and fleeing on a two-wheeler.,vehicle:two-wheeler,8
OFF000100,INC000099,Theft,Accused was seen loitering near a residential lane before removing a bag of valuables and fleeing on a two-wheeler.,vehicle:two-wheeler,8
OFF000101,INC000100,Theft,Accused was seen loitering near a market area before removing jewellery and fleeing on a two-wheeler.,vehicle:two-wheeler,8
OFF000102,INC000101,Burglary,Accused gained entry through the kitchen ventilator and removed jewellery from the premises while occupants were at work.,entry:kitchen ventilator,15
OFF000103,INC000102,Burglary,Accused gained entry through the kitchen ventilator and removed cash and electronics from the premises while occupants were asleep.,entry:kitchen ventilator,15
OFF000104,INC000103,Burglary,Accused gained entry through the kitchen ventilator and removed two mobile phones from the premises while occupants were asleep.,entry:kitchen ventilator,15
OFF000105,INC000104,Burglary,Accused gained entry through the kitchen ventilator and removed a bag of valuables from the premises while occupants were away.,entry:kitchen ventilator,15
OFF000106,INC000105,Burglary,Accused gained entry through the kitchen ventilator and removed a laptop from the premises while occupants were at work.,entry:kitchen ventilator,15
OFF000107,INC000106,Theft,Accused was seen loitering near a railway station before removing a laptop and fleeing on a on foot.,vehicle:on foot,8
OFF000108,INC000107,Theft,Accused was seen loitering near a bus stop before removing a bag of valuables and fleeing on a on foot.,vehicle:on foot,8
OFF000109,INC000108,Theft,Accused was seen loitering near a market area before removing a bag of valuables and fleeing on a on foot.,vehicle:on foot,8
OFF000110,INC000109,Theft,Accused was seen loitering near a railway station before removing cash and electronics and fleeing on a on foot.,vehicle:on foot,8
OFF000111,INC000110,Burglary,Accused gained entry through the rear window and removed cash and electronics from the premises while occupants were at work.,entry:rear window,15
OFF000112,INC000111,Burglary,Accused gained entry through the rear window and removed two mobile phones from the premises while occupants were asleep.,entry:rear window,15
OFF000113,INC000112,Burglary,Accused gained entry through the rear window and removed two mobile phones from the premises while occupants were away.,entry:rear window,15
OFF000114,INC000113,Burglary,Accused gained entry through the rear window and removed a laptop from the premises while occupants were asleep.,entry:rear window,15
OFF000115,INC000114,Cheating,"Accused posed as a bank official and convinced the victim to transfer funds via a fraudulent link, then became unreachable.",channel:a fraudulent link,20
OFF000116,INC000115,Cheating,"Accused posed as a insurance agent and convinced the victim to transfer funds via a fraudulent link, then became unreachable.",channel:a fraudulent link,20
OFF000117,INC000116,Cheating,"Accused posed as a government officer and convinced the victim to transfer funds via a fraudulent link, then became unreachable.",channel:a fraudulent link,20
OFF000118,INC000117,Robbery,"Accused approached the victim near a market area, threatened them with a sharp weapon, and fled with cash and electronics on a two-wheeler.",weapon:sharp weapon,45
OFF000119,INC000118,Robbery,"Accused approached the victim near a parking lot, threatened them with a sharp weapon, and fled with cash and electronics on a two-wheeler.",weapon:sharp weapon,45
OFF000120,INC000119,Robbery,"Accused approached the victim near a bus stop, threatened them with a iron rod, and fled with two mobile phones on a two-wheeler.",weapon:iron rod,45
OFF000121,INC000120,Robbery,"Accused approached the victim near a residential lane, threatened them with a iron rod, and fled with a laptop on a two-wheeler.",weapon:iron rod,45
OFF000122,INC000121,Robbery,"Accused approached the victim near a residential lane, threatened them with a iron rod, and fled with jewellery on a two-wheeler.",weapon:iron rod,45
OFF000123,INC000122,Robbery,"Accused approached the victim near a parking lot, threatened them with a iron rod, and fled with a laptop on a two-wheeler.",weapon:iron rod,45
OFF000124,INC000123,Robbery,"Accused approached the victim near a market area, threatened them with a iron rod, and fled with a laptop on a two-wheeler.",weapon:iron rod,45
OFF000125,INC000124,Theft,Accused was seen loitering near a market area before removing cash and electronics and fleeing on a two-wheeler.,vehicle:two-wheeler,8
OFF000126,INC000125,Theft,Accused was seen loitering near a railway station before removing cash and electronics and fleeing on a two-wheeler.,vehicle:two-wheeler,8
OFF000127,INC000126,Theft,Accused was seen loitering near a railway station before removing a bag of valuables and fleeing on a two-wheeler.,vehicle:two-wheeler,8
OFF000128,INC000127,Theft,Accused was seen loitering near a market area before removing two mobile phones and fleeing on a two-wheeler.,vehicle:two-wheeler,8
OFF000129,INC000128,Theft,Accused was seen loitering near a railway station before removing cash and electronics and fleeing on a two-wheeler.,vehicle:two-wheeler,8
OFF000130,INC000129,Burglary,Accused gained entry through the terrace access and removed cash and electronics from the premises while occupants were at work.,entry:terrace access,15
OFF000131,INC000130,Burglary,Accused gained entry through the terrace access and removed a bag of valuables from the premises while occupants were at work.,entry:terrace access,15
OFF000132,INC000131,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a parking lot over a property boundary, causing injury with a blunt object.",weapon:blunt object,35
OFF000133,INC000132,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a residential lane over a family matter, causing injury with a blunt object.",weapon:blunt object,35
OFF000134,INC000133,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a railway station over a property boundary, causing injury with a blunt object.",weapon:blunt object,35
OFF000135,INC000134,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a residential lane over an old debt, causing injury with a blunt object.",weapon:blunt object,35
OFF000136,INC000135,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a railway station over a family matter, causing injury with a blunt object.",weapon:blunt object,35
OFF000137,INC000136,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a parking lot over a property boundary, causing injury with a sharp weapon.",weapon:sharp weapon,35
OFF000138,INC000137,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a railway station over a family matter, causing injury with a sharp weapon.",weapon:sharp weapon,35
OFF000139,INC000138,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a parking lot over a property boundary, causing injury with a sharp weapon.",weapon:sharp weapon,35
OFF000140,INC000139,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a market area over a property boundary, causing injury with a sharp weapon.",weapon:sharp weapon,35
OFF000141,INC000140,Cheating,"Accused posed as a government officer and convinced the victim to transfer funds via phone banking, then became unreachable.",channel:phone banking,20
OFF000142,INC000141,Cheating,"Accused posed as a bank official and convinced the victim to transfer funds via phone banking, then became unreachable.",channel:phone banking,20
OFF000143,INC000142,Cheating,"Accused posed as a government officer and convinced the victim to transfer funds via phone banking, then became unreachable.",channel:phone banking,20
OFF000144,INC000143,Cheating,"Accused posed as a government officer and convinced the victim to transfer funds via phone banking, then became unreachable.",channel:phone banking,20
OFF000145,INC000144,Cheating,"Accused posed as a bank official and convinced the victim to transfer funds via phone banking, then became unreachable.",channel:phone banking,20
OFF000146,INC000145,Burglary,Accused gained entry through the unlocked back door and removed two mobile phones from the premises while occupants were at work.,entry:unlocked back door,15
OFF000147,INC000146,Burglary,Accused gained entry through the unlocked back door and removed jewellery from the premises while occupants were asleep.,entry:unlocked back door,15
OFF000148,INC000147,Burglary,Accused gained entry through the unlocked back door and removed cash and electronics from the premises while occupants were asleep.,entry:unlocked back door,15
OFF000149,INC000148,Burglary,Accused gained entry through the unlocked back door and removed jewellery from the premises while occupants were asleep.,entry:unlocked back door,15
OFF000150,INC000149,Burglary,Accused gained entry through the unlocked back door and removed a bag of valuables from the premises while occupants were asleep.,entry:unlocked back door,15
OFF000151,INC000150,Robbery,"Accused approached the victim near a bus stop, threatened them with a iron rod, and fled with jewellery on a auto-rickshaw.",weapon:iron rod,45
OFF000152,INC000151,Robbery,"Accused approached the victim near a residential lane, threatened them with a iron rod, and fled with a laptop on a auto-rickshaw.",weapon:iron rod,45
OFF000153,INC000152,Robbery,"Accused approached the victim near a market area, threatened them with a iron rod, and fled with cash and electronics on a auto-rickshaw.",weapon:iron rod,45
OFF000154,INC000153,Robbery,"Accused approached the victim near a market area, threatened them with a knife, and fled with jewellery on a on foot.",weapon:knife,45
OFF000155,INC000154,Robbery,"Accused approached the victim near a residential lane, threatened them with a knife, and fled with cash and electronics on a on foot.",weapon:knife,45
OFF000156,INC000155,Robbery,"Accused approached the victim near a parking lot, threatened them with a knife, and fled with cash and electronics on a on foot.",weapon:knife,45
OFF000157,INC000156,Robbery,"Accused approached the victim near a parking lot, threatened them with a knife, and fled with two mobile phones on a on foot.",weapon:knife,45
OFF000158,INC000157,Robbery,"Accused approached the victim near a bus stop, threatened them with a sharp weapon, and fled with cash and electronics on a on foot.",weapon:sharp weapon,45
OFF000159,INC000158,Robbery,"Accused approached the victim near a residential lane, threatened them with a sharp weapon, and fled with a laptop on a on foot.",weapon:sharp weapon,45
OFF000160,INC000159,Robbery,"Accused approached the victim near a parking lot, threatened them with a sharp weapon, and fled with cash and electronics on a on foot.",weapon:sharp weapon,45
OFF000161,INC000160,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a railway station over a family matter, causing injury with a sharp weapon.",weapon:sharp weapon,35
OFF000162,INC000161,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a parking lot over a road-rage incident, causing injury with a sharp weapon.",weapon:sharp weapon,35
OFF000163,INC000162,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a railway station over a property boundary, causing injury with a sharp weapon.",weapon:sharp weapon,35
OFF000164,INC000163,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a residential lane over a road-rage incident, causing injury with a sharp weapon.",weapon:sharp weapon,35
OFF000165,INC000164,Robbery,"Accused approached the victim near a residential lane, threatened them with a iron rod, and fled with cash and electronics on a auto-rickshaw.",weapon:iron rod,45
OFF000166,INC000165,Robbery,"Accused approached the victim near a bus stop, threatened them with a iron rod, and fled with two mobile phones on a auto-rickshaw.",weapon:iron rod,45
OFF000167,INC000166,Robbery,"Accused approached the victim near a bus stop, threatened them with a iron rod, and fled with a bag of valuables on a auto-rickshaw.",weapon:iron rod,45
OFF000168,INC000167,Theft,Accused was seen loitering near a parking lot before removing a laptop and fleeing on a auto-rickshaw.,vehicle:auto-rickshaw,8
OFF000169,INC000168,Theft,Accused was seen loitering near a parking lot before removing a bag of valuables and fleeing on a auto-rickshaw.,vehicle:auto-rickshaw,8
OFF000170,INC000169,Theft,Accused was seen loitering near a residential lane before removing jewellery and fleeing on a auto-rickshaw.,vehicle:auto-rickshaw,8
OFF000171,INC000170,Theft,Accused was seen loitering near a residential lane before removing a bag of valuables and fleeing on a auto-rickshaw.,vehicle:auto-rickshaw,8
OFF000172,INC000171,Cheating,"Accused posed as a delivery agent and convinced the victim to transfer funds via a fraudulent link, then became unreachable.",channel:a fraudulent link,20
OFF000173,INC000172,Cheating,"Accused posed as a government officer and convinced the victim to transfer funds via a fraudulent link, then became unreachable.",channel:a fraudulent link,20
OFF000174,INC000173,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a residential lane over a road-rage incident, causing injury with a sharp weapon.",weapon:sharp weapon,35
OFF000175,INC000174,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a residential lane over an old debt, causing injury with a sharp weapon.",weapon:sharp weapon,35
OFF000176,INC000175,Burglary,Accused gained entry through the unlocked back door and removed jewellery from the premises while occupants were away.,entry:unlocked back door,15
OFF000177,INC000176,Burglary,Accused gained entry through the unlocked back door and removed two mobile phones from the premises while occupants were asleep.,entry:unlocked back door,15
OFF000178,INC000177,Burglary,Accused gained entry through the unlocked back door and removed two mobile phones from the premises while occupants were away.,entry:unlocked back door,15
OFF000179,INC000178,Burglary,Accused gained entry through the kitchen ventilator and removed cash and electronics from the premises while occupants were asleep.,entry:kitchen ventilator,15
OFF000180,INC000179,Burglary,Accused gained entry through the kitchen ventilator and removed cash and electronics from the premises while occupants were at work.,entry:kitchen ventilator,15
OFF000181,INC000180,Burglary,Accused gained entry through the rear window and removed cash and electronics from the premises while occupants were asleep.,entry:rear window,15
OFF000182,INC000181,Burglary,Accused gained entry through the rear window and removed two mobile phones from the premises while occupants were at work.,entry:rear window,15
OFF000183,INC000182,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a market area over a family matter, causing injury with a blunt object.",weapon:blunt object,35
OFF000184,INC000183,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a market area over a property boundary, causing injury with a blunt object.",weapon:blunt object,35
OFF000185,INC000184,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a railway station over a property boundary, causing injury with a blunt object.",weapon:blunt object,35
OFF000186,INC000185,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a residential lane over a property boundary, causing injury with a blunt object.",weapon:blunt object,35
OFF000187,INC000186,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a residential lane over a family matter, causing injury with a blunt object.",weapon:blunt object,35
OFF000188,INC000187,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a parking lot over a family matter, causing injury with a blunt object.",weapon:blunt object,35
OFF000189,INC000188,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a bus stop over an old debt, causing injury with a blunt object.",weapon:blunt object,35
OFF000190,INC000189,Cheating,"Accused posed as a bank official and convinced the victim to transfer funds via phone banking, then became unreachable.",channel:phone banking,20
OFF000191,INC000190,Cheating,"Accused posed as a government officer and convinced the victim to transfer funds via phone banking, then became unreachable.",channel:phone banking,20
OFF000192,INC000191,Cheating,"Accused posed as a bank official and convinced the victim to transfer funds via phone banking, then became unreachable.",channel:phone banking,20
OFF000193,INC000192,Cheating,"Accused posed as a delivery agent and convinced the victim to transfer funds via phone banking, then became unreachable.",channel:phone banking,20
OFF000194,INC000193,Theft,Accused was seen loitering near a railway station before removing cash and electronics and fleeing on a bicycle.,vehicle:bicycle,8
OFF000195,INC000194,Theft,Accused was seen loitering near a residential lane before removing two mobile phones and fleeing on a bicycle.,vehicle:bicycle,8
OFF000196,INC000195,Robbery,"Accused approached the victim near a parking lot, threatened them with a sharp weapon, and fled with two mobile phones on a auto-rickshaw.",weapon:sharp weapon,45
OFF000197,INC000196,Robbery,"Accused approached the victim near a residential lane, threatened them with a sharp weapon, and fled with a laptop on a auto-rickshaw.",weapon:sharp weapon,45
OFF000198,INC000197,Robbery,"Accused approached the victim near a railway station, threatened them with a sharp weapon, and fled with a bag of valuables on a auto-rickshaw.",weapon:sharp weapon,45
OFF000199,INC000198,Robbery,"Accused approached the victim near a railway station, threatened them with a sharp weapon, and fled with a laptop on a auto-rickshaw.",weapon:sharp weapon,45
OFF000200,INC000199,Cheating,"Accused posed as a government officer and convinced the victim to transfer funds via a fraudulent link, then became unreachable.",channel:a fraudulent link,20
OFF000201,INC000200,Cheating,"Accused posed as a delivery agent and convinced the victim to transfer funds via a fraudulent link, then became unreachable.",channel:a fraudulent link,20
OFF000202,INC000201,Cheating,"Accused posed as a bank official and convinced the victim to transfer funds via a fraudulent link, then became unreachable.",channel:a fraudulent link,20
OFF000203,INC000202,Cheating,"Accused posed as a insurance agent and convinced the victim to transfer funds via a fraudulent link, then became unreachable.",channel:a fraudulent link,20
OFF000204,INC000203,Cheating,"Accused posed as a bank official and convinced the victim to transfer funds via a fraudulent link, then became unreachable.",channel:a fraudulent link,20
OFF000205,INC000204,Robbery,"Accused approached the victim near a parking lot, threatened them with a sharp weapon, and fled with two mobile phones on a two-wheeler.",weapon:sharp weapon,45
